constructor_id,first_year,last_year,total_entries
mclaren,2012,2025,582
ferrari,2012,2025,582
red-bull,2012,2025,582
mercedes,2012,2025,582
williams,2012,2025,581
haas,2016,2025,428
toro-rosso,2012,2019,320
force-india,2012,2018,278
sauber,2012,2018,278
alpine,2021,2025,228
aston-martin,2021,2025,228
alfa-romeo,2019,2023,208
renault,2016,2020,200
alphatauri,2020,2023,166
lotus-f1,2012,2015,154
marussia,2012,2015,147
caterham,2012,2014,112
kick-sauber,2024,2025,96
racing-point,2019,2020,76
racing-bulls,2025,2025,48
rb,2024,2024,48
manor,2016,2016,42
hrt,2012,2012,40
