driver_id,first_year,last_year,total_races
lewis-hamilton,2012,2025,290
sergio-perez,2012,2024,265
fernando-alonso,2012,2025,250
valtteri-bottas,2013,2024,247
daniel-ricciardo,2012,2024,246
nico-hulkenberg,2012,2025,235
max-verstappen,2015,2025,233
carlos-sainz-jr,2015,2025,232
sebastian-vettel,2012,2022,219
kimi-raikkonen,2012,2021,195
lance-stroll,2017,2025,192
kevin-magnussen,2014,2024,186
esteban-ocon,2016,2025,180
pierre-gasly,2017,2025,178
romain-grosjean,2012,2020,174
charles-leclerc,2018,2025,173
lando-norris,2019,2025,152
george-russell,2019,2025,152
alexander-albon,2019,2025,129
felipe-massa,2012,2017,117
yuki-tsunoda,2021,2025,114
daniil-kvyat,2014,2020,112
jenson-button,2012,2017,99
nico-rosberg,2012,2016,98
marcus-ericsson,2014,2018,97
pastor-maldonado,2012,2015,77
oscar-piastri,2023,2025,70
guanyu-zhou,2022,2024,68
antonio-giovinazzi,2017,2021,62
nicholas-latifi,2020,2022,61
esteban-gutierrez,2013,2016,59
jean-eric-vergne,2012,2014,58
mick-schumacher,2021,2022,44
stoffel-vandoorne,2016,2018,42
paul-di-resta,2012,2017,40
felipe-nasr,2015,2016,40
pascal-wehrlein,2016,2017,39
mark-webber,2012,2013,39
charles-pic,2012,2013,39
adrian-sutil,2013,2014,38
jolyon-palmer,2016,2017,37
kamui-kobayashi,2012,2014,36
logan-sargeant,2023,2024,36
liam-lawson,2023,2025,35
max-chilton,2013,2014,35
jules-bianchi,2013,2014,34
franco-colapinto,2024,2025,27
oliver-bearman,2024,2025,27
brendon-hartley,2017,2018,25
kimi-antonelli,2025,2025,24
isack-hadjar,2025,2025,24
gabriel-bortoleto,2025,2025,24
robert-kubica,2019,2021,23
heikki-kovalainen,2012,2013,22
nikita-mazepin,2021,2021,22
sergey-sirotkin,2018,2018,21
pedro-de-la-rosa,2012,2012,20
bruno-senna,2012,2012,20
timo-glock,2012,2012,20
vitaly-petrov,2012,2012,20
will-stevens,2014,2015,20
michael-schumacher,2012,2012,20
narain-karthikeyan,2012,2012,20
giedo-van-der-garde,2013,2013,19
roberto-merhi,2015,2015,14
rio-haryanto,2016,2016,12
nyck-de-vries,2022,2023,11
jack-doohan,2024,2025,7
alexander-rossi,2015,2015,5
pietro-fittipaldi,2020,2020,2
andre-lotterer,2014,2014,1
jack-aitken,2020,2020,1
jerome-dambrosio,2012,2012,1
