driverId,points
lewis-hamilton,4232.5
max-verstappen,3301.5
sebastian-vettel,2325.0
valtteri-bottas,1788.0
charles-leclerc,1588.0
sergio-perez,1571.0
lando-norris,1344.0
daniel-ricciardo,1320.0
fernando-alonso,1294.0
kimi-raikkonen,1294.0
nico-rosberg,1288.0
carlos-sainz-jr,1257.5
george-russell,953.0
oscar-piastri,728.0
nico-hulkenberg,592.0
felipe-massa,585.0
esteban-ocon,474.0
pierre-gasly,446.0
jenson-button,424.0
romain-grosjean,391.0
mark-webber,378.0
lance-stroll,315.0
alexander-albon,308.0
daniil-kvyat,202.0
kevin-magnussen,196.0
kimi-antonelli,135.0
yuki-tsunoda,108.0
paul-di-resta,94.0
pastor-maldonado,75.0
kamui-kobayashi,60.0
jean-eric-vergne,51.0
isack-hadjar,50.0
michael-schumacher,49.0
oliver-bearman,46.0
liam-lawson,44.0
bruno-senna,31.0
felipe-nasr,29.0
adrian-sutil,29.0
stoffel-vandoorne,26.0
antonio-giovinazzi,21.0
gabriel-bortoleto,19.0
marcus-ericsson,18.0
guanyu-zhou,16.0
mick-schumacher,12.0
nicholas-latifi,9.0
jolyon-palmer,9.0
esteban-gutierrez,6.0
pascal-wehrlein,6.0
franco-colapinto,5.0
brendon-hartley,4.0
nyck-de-vries,2.0
jules-bianchi,2.0
logan-sargeant,1.0
sergey-sirotkin,1.0
robert-kubica,1.0
giedo-van-der-garde,0.0
andre-lotterer,0.0
roberto-merhi,0.0
alexander-rossi,0.0
vitaly-petrov,0.0
will-stevens,0.0
timo-glock,0.0
jack-doohan,0.0
rio-haryanto,0.0
pietro-fittipaldi,0.0
pedro-de-la-rosa,0.0
charles-pic,0.0
jack-aitken,0.0
jerome-dambrosio,0.0
heikki-kovalainen,0.0
narain-karthikeyan,0.0
max-chilton,0.0
nikita-mazepin,0.0
