year,driverId,races
2012,bruno-senna,20
2012,charles-pic,20
2012,daniel-ricciardo,20
2012,felipe-massa,20
2012,fernando-alonso,20
2012,heikki-kovalainen,20
2012,jean-eric-vergne,20
2012,jenson-button,20
2012,jerome-dambrosio,1
2012,kamui-kobayashi,20
2012,kimi-raikkonen,20
2012,lewis-hamilton,20
2012,mark-webber,20
2012,michael-schumacher,20
2012,narain-karthikeyan,20
2012,nico-hulkenberg,20
2012,nico-rosberg,20
2012,pastor-maldonado,20
2012,paul-di-resta,20
2012,pedro-de-la-rosa,20
2012,romain-grosjean,19
2012,sebastian-vettel,20
2012,sergio-perez,20
2012,timo-glock,20
2012,vitaly-petrov,20
2013,adrian-sutil,19
2013,charles-pic,19
2013,daniel-ricciardo,19
2013,esteban-gutierrez,19
2013,felipe-massa,19
2013,fernando-alonso,19
2013,giedo-van-der-garde,19
2013,heikki-kovalainen,2
2013,jean-eric-vergne,19
2013,jenson-button,19
2013,jules-bianchi,19
2013,kimi-raikkonen,17
2013,lewis-hamilton,19
2013,mark-webber,19
2013,max-chilton,19
2013,nico-hulkenberg,19
2013,nico-rosberg,19
2013,pastor-maldonado,19
2013,paul-di-resta,19
2013,romain-grosjean,19
2013,sebastian-vettel,19
2013,sergio-perez,19
2013,valtteri-bottas,19
2014,adrian-sutil,19
2014,andre-lotterer,1
2014,daniel-ricciardo,19
2014,daniil-kvyat,19
2014,esteban-gutierrez,19
2014,felipe-massa,19
2014,fernando-alonso,19
2014,jean-eric-vergne,19
2014,jenson-button,19
2014,jules-bianchi,15
2014,kamui-kobayashi,16
2014,kevin-magnussen,19
2014,kimi-raikkonen,19
2014,lewis-hamilton,19
2014,marcus-ericsson,16
2014,max-chilton,16
2014,nico-hulkenberg,19
2014,nico-rosberg,19
2014,pastor-maldonado,19
2014,romain-grosjean,19
2014,sebastian-vettel,19
2014,sergio-perez,19
2014,valtteri-bottas,19
2014,will-stevens,1
2015,alexander-rossi,5
2015,carlos-sainz-jr,19
2015,daniel-ricciardo,19
2015,daniil-kvyat,19
2015,felipe-massa,19
2015,felipe-nasr,19
2015,fernando-alonso,18
2015,jenson-button,19
2015,kevin-magnussen,1
2015,kimi-raikkonen,19
2015,lewis-hamilton,19
2015,marcus-ericsson,19
2015,max-verstappen,19
2015,nico-hulkenberg,19
2015,nico-rosberg,19
2015,pastor-maldonado,19
2015,roberto-merhi,14
2015,romain-grosjean,19
2015,sebastian-vettel,19
2015,sergio-perez,19
2015,valtteri-bottas,19
2015,will-stevens,19
2016,carlos-sainz-jr,21
2016,daniel-ricciardo,21
2016,daniil-kvyat,21
2016,esteban-gutierrez,21
2016,esteban-ocon,9
2016,felipe-massa,21
2016,felipe-nasr,21
2016,fernando-alonso,20
2016,jenson-button,21
2016,jolyon-palmer,21
2016,kevin-magnussen,21
2016,kimi-raikkonen,21
2016,lewis-hamilton,21
2016,marcus-ericsson,21
2016,max-verstappen,21
2016,nico-hulkenberg,21
2016,nico-rosberg,21
2016,pascal-wehrlein,21
2016,rio-haryanto,12
2016,romain-grosjean,21
2016,sebastian-vettel,21
2016,sergio-perez,21
2016,stoffel-vandoorne,1
2016,valtteri-bottas,21
2017,antonio-giovinazzi,2
2017,brendon-hartley,4
2017,carlos-sainz-jr,20
2017,daniel-ricciardo,20
2017,daniil-kvyat,15
2017,esteban-ocon,20
2017,felipe-massa,19
2017,fernando-alonso,19
2017,jenson-button,1
2017,jolyon-palmer,16
2017,kevin-magnussen,20
2017,kimi-raikkonen,20
2017,lance-stroll,20
2017,lewis-hamilton,20
2017,marcus-ericsson,20
2017,max-verstappen,20
2017,nico-hulkenberg,20
2017,pascal-wehrlein,18
2017,paul-di-resta,1
2017,pierre-gasly,5
2017,romain-grosjean,20
2017,sebastian-vettel,20
2017,sergio-perez,20
2017,stoffel-vandoorne,20
2017,valtteri-bottas,20
2018,brendon-hartley,21
2018,carlos-sainz-jr,21
2018,charles-leclerc,21
2018,daniel-ricciardo,21
2018,esteban-ocon,21
2018,fernando-alonso,21
2018,kevin-magnussen,21
2018,kimi-raikkonen,21
2018,lance-stroll,21
2018,lewis-hamilton,21
2018,marcus-ericsson,21
2018,max-verstappen,21
2018,nico-hulkenberg,21
2018,pierre-gasly,21
2018,romain-grosjean,21
2018,sebastian-vettel,21
2018,sergey-sirotkin,21
2018,sergio-perez,21
2018,stoffel-vandoorne,21
2018,valtteri-bottas,21
2019,alexander-albon,21
2019,antonio-giovinazzi,21
2019,carlos-sainz-jr,21
2019,charles-leclerc,21
2019,daniel-ricciardo,21
2019,daniil-kvyat,21
2019,george-russell,21
2019,kevin-magnussen,21
2019,kimi-raikkonen,21
2019,lance-stroll,21
2019,lando-norris,21
2019,lewis-hamilton,21
2019,max-verstappen,21
2019,nico-hulkenberg,21
2019,pierre-gasly,21
2019,robert-kubica,21
2019,romain-grosjean,21
2019,sebastian-vettel,21
2019,sergio-perez,21
2019,valtteri-bottas,21
2020,alexander-albon,17
2020,antonio-giovinazzi,17
2020,carlos-sainz-jr,17
2020,charles-leclerc,17
2020,daniel-ricciardo,17
2020,daniil-kvyat,17
2020,esteban-ocon,17
2020,george-russell,17
2020,jack-aitken,1
2020,kevin-magnussen,17
2020,kimi-raikkonen,17
2020,lance-stroll,16
2020,lando-norris,17
2020,lewis-hamilton,16
2020,max-verstappen,17
2020,nicholas-latifi,17
2020,nico-hulkenberg,3
2020,pierre-gasly,17
2020,pietro-fittipaldi,2
2020,romain-grosjean,15
2020,sebastian-vettel,17
2020,sergio-perez,15
2020,valtteri-bottas,17
2021,antonio-giovinazzi,22
2021,carlos-sainz-jr,22
2021,charles-leclerc,22
2021,daniel-ricciardo,22
2021,esteban-ocon,22
2021,fernando-alonso,22
2021,george-russell,22
2021,kimi-raikkonen,20
2021,lance-stroll,22
2021,lando-norris,22
2021,lewis-hamilton,22
2021,max-verstappen,22
2021,mick-schumacher,22
2021,nicholas-latifi,22
2021,nikita-mazepin,22
2021,pierre-gasly,22
2021,robert-kubica,2
2021,sebastian-vettel,22
2021,sergio-perez,22
2021,valtteri-bottas,22
2021,yuki-tsunoda,22
2022,alexander-albon,21
2022,carlos-sainz-jr,22
2022,charles-leclerc,22
2022,daniel-ricciardo,22
2022,esteban-ocon,22
2022,fernando-alonso,22
2022,george-russell,22
2022,guanyu-zhou,22
2022,kevin-magnussen,22
2022,lance-stroll,22
2022,lando-norris,22
2022,lewis-hamilton,22
2022,max-verstappen,22
2022,mick-schumacher,22
2022,nicholas-latifi,22
2022,nico-hulkenberg,2
2022,nyck-de-vries,1
2022,pierre-gasly,22
2022,sebastian-vettel,20
2022,sergio-perez,22
2022,valtteri-bottas,22
2022,yuki-tsunoda,22
2023,alexander-albon,22
2023,carlos-sainz-jr,22
2023,charles-leclerc,22
2023,daniel-ricciardo,7
2023,esteban-ocon,22
2023,fernando-alonso,22
2023,george-russell,22
2023,guanyu-zhou,22
2023,kevin-magnussen,22
2023,lance-stroll,22
2023,lando-norris,22
2023,lewis-hamilton,22
2023,liam-lawson,5
2023,logan-sargeant,22
2023,max-verstappen,22
2023,nico-hulkenberg,22
2023,nyck-de-vries,10
2023,oscar-piastri,22
2023,pierre-gasly,22
2023,sergio-perez,22
2023,valtteri-bottas,22
2023,yuki-tsunoda,22
2024,alexander-albon,24
2024,carlos-sainz-jr,23
2024,charles-leclerc,24
2024,daniel-ricciardo,18
2024,esteban-ocon,23
2024,fernando-alonso,24
2024,franco-colapinto,9
2024,george-russell,24
2024,guanyu-zhou,24
2024,jack-doohan,1
2024,kevin-magnussen,22
2024,lance-stroll,24
2024,lando-norris,24
2024,lewis-hamilton,24
2024,liam-lawson,6
2024,logan-sargeant,14
2024,max-verstappen,24
2024,nico-hulkenberg,24
2024,oliver-bearman,3
2024,oscar-piastri,24
2024,pierre-gasly,24
2024,sergio-perez,24
2024,valtteri-bottas,24
2024,yuki-tsunoda,24
2025,alexander-albon,24
2025,carlos-sainz-jr,24
2025,charles-leclerc,24
2025,esteban-ocon,24
2025,fernando-alonso,24
2025,franco-colapinto,18
2025,gabriel-bortoleto,24
2025,george-russell,24
2025,isack-hadjar,24
2025,jack-doohan,6
2025,kimi-antonelli,24
2025,lance-stroll,24
2025,lando-norris,24
2025,lewis-hamilton,24
2025,liam-lawson,24
2025,max-verstappen,24
2025,nico-hulkenberg,24
2025,oliver-bearman,24
2025,oscar-piastri,24
2025,pierre-gasly,24
2025,yuki-tsunoda,24
